wavelength,ex,em,2p
740,,,0.933
741,,,0.9444
742,,,0.9412
743,,,0.9229
744,,,0.9089
745,,,0.9153
746,,,0.9308
747,,,0.952
748,,,0.9728
749,,,0.9874
750,,,0.9968
751,,,1.0
752,,,0.997
753,,,0.9886
754,,,0.9755
755,,,0.959
756,,,0.9424
757,,,0.9295
758,,,0.9201
759,,,0.9163
760,,,0.9143
761,,,0.9088
762,,,0.9011
763,,,0.8915
764,,,0.8824
765,,,0.8745
766,,,0.8697
767,,,0.8681
768,,,0.8694
769,,,0.8795
770,,,0.8915
771,,,0.8973
772,,,0.893
773,,,0.8694
774,,,0.8387
775,,,0.8198
776,,,0.8116
777,,,0.8087
778,,,0.8048
779,,,0.8043
780,,,0.795
781,,,0.7551
782,,,0.7128
783,,,0.6906
784,,,0.6798
785,,,0.6864
786,,,0.7051
787,,,0.7224
788,,,0.7234
789,,,0.6998
790,,,0.6654
791,,,0.6219
792,,,0.5847
793,,,0.5706
794,,,0.567
795,,,0.5684
796,,,0.5797
797,,,0.6047
798,,,0.6244
799,,,0.6145
800,,,0.5922
801,,,0.5772
802,,,0.5652
803,,,0.5501
804,,,0.536
805,,,0.5329
806,,,0.524
807,,,0.4958
808,,,0.4652
809,,,0.4391
810,,,0.4113
811,,,0.3848
812,,,0.3668
813,,,0.3601
814,,,0.3566
815,,,0.3519
816,,,0.3417
817,,,0.3183
818,,,0.2932
819,,,0.2749
820,,,0.2603
821,,,0.2506
822,,,0.2432
823,,,0.2347
824,,,0.2227
825,,,0.2039
826,,,0.1844
827,,,0.17
828,,,0.1593
829,,,0.151
830,,,0.1427
831,,,0.1316
832,,,0.1201
833,,,0.11
834,,,0.1033
835,,,0.1011
836,,,0.099
837,,,0.0934
838,,,0.0859
839,,,0.0771
840,,,0.0695
841,,,0.0645
842,,,0.0607
843,,,0.0574
844,,,0.0536
845,,,0.0483
846,,,0.0431
847,,,0.0384
848,,,0.034
849,,,0.0301
850,,,0.0268
851,,,0.0237
852,,,0.0211
853,,,0.019
854,,,0.0171
855,,,0.0151
856,,,0.0134
857,,,0.0117
858,,,0.0101
859,,,0.0088
860,,,0.0079
861,,,0.0071
862,,,0.0066
863,,,0.0064
864,,,0.0062
865,,,0.0056
866,,,0.0051
867,,,0.0048
868,,,0.0046
869,,,0.0044
870,,,0.0041
871,,,0.004
872,,,0.0038
873,,,0.0034
874,,,0.0032
875,,,0.003
876,,,0.0029
877,,,0.0028
878,,,0.0026
879,,,0.0025
880,,,0.0023
881,,,0.0022
882,,,0.0021
883,,,0.002
884,,,0.0019
885,,,0.0018
886,,,0.0017
887,,,0.0016
888,,,0.0015
889,,,0.0014
890,,,0.0013
891,,,0.0013
892,,,0.0012
893,,,0.0012
894,,,0.0011
895,,,0.001
896,,,0.001
897,,,0.0009
898,,,0.0009
899,,,0.0008
900,,,0.0008
901,,,0.0007
902,,,0.0006
903,,,0.0006
904,,,0.0006
905,,,0.0005
906,,,0.0005
907,,,0.0005
908,,,0.0005
909,,,0.0004
910,,,0.0004
911,,,0.0004
912,,,0.0004
913,,,0.0003
914,,,0.0003
915,,,0.0003
916,,,0.0003
917,,,0.0003
918,,,0.0003
919,,,0.0003
920,,,0.0003
921,,,0.0003
922,,,0.0003
923,,,0.0003
924,,,0.0002
925,,,0.0002
926,,,0.0002
927,,,0.0002
928,,,0.0002
929,,,0.0002
930,,,0.0002
931,,,0.0002
932,,,0.0002
933,,,0.0001
934,,,0.0001
935,,,0.0001
936,,,0.0001
937,,,0.0001
938,,,0.0001
939,,,0.0002
940,,,0.0002
941,,,0.0002
942,,,0.0002
943,,,0.0002
944,,,0.0002
945,,,0.0002
946,,,0.0002
947,,,0.0002
948,,,0.0002
949,,,0.0002
950,,,0.0002
951,,,0.0002
952,,,0.0002
953,,,0.0002
954,,,0.0002
955,,,0.0002
956,,,0.0002
957,,,0.0002
