wavelength,ex,em,2p
910,,,0.9613
911,,,0.9563
912,,,0.9514
913,,,0.953
914,,,0.9546
915,,,0.9562
916,,,0.9578
917,,,0.9579
918,,,0.9581
919,,,0.9583
920,,,0.9584
921,,,0.9596
922,,,0.9608
923,,,0.962
924,,,0.9632
925,,,0.9719
926,,,0.9805
927,,,0.9892
928,,,0.9979
929,,,0.9984
930,,,0.9989
931,,,0.9995
932,,,1.0
933,,,0.9926
934,,,0.9852
935,,,0.9778
936,,,0.9704
937,,,0.9752
938,,,0.98
939,,,0.9848
940,,,0.9896
941,,,0.9888
942,,,0.9879
943,,,0.987
944,,,0.9861
945,,,0.9785
946,,,0.9708
947,,,0.9632
948,,,0.9555
949,,,0.9471
950,,,0.9388
951,,,0.9304
952,,,0.922
953,,,0.9105
954,,,0.8991
955,,,0.8876
956,,,0.8762
957,,,0.8741
958,,,0.8721
959,,,0.87
960,,,0.868
961,,,0.8601
962,,,0.8522
963,,,0.8444
964,,,0.8365
965,,,0.8218
966,,,0.8071
967,,,0.7925
968,,,0.7778
969,,,0.7741
970,,,0.7703
971,,,0.7666
972,,,0.7629
973,,,0.7565
974,,,0.7502
975,,,0.7438
976,,,0.7375
977,,,0.7293
978,,,0.7212
979,,,0.713
980,,,0.7048
981,,,0.6946
982,,,0.6843
983,,,0.674
984,,,0.6637
985,,,0.6549
986,,,0.646
987,,,0.6372
988,,,0.6283
989,,,0.6124
990,,,0.5965
991,,,0.5806
992,,,0.5647
993,,,0.5417
994,,,0.5186
995,,,0.4956
996,,,0.4725
997,,,0.4593
998,,,0.446
999,,,0.4327
1000,,,0.4195
1001,,,0.4077
1002,,,0.396
1003,,,0.3843
1004,,,0.3726
1005,,,0.3577
1006,,,0.3427
1007,,,0.3278
1008,,,0.3129
1009,,,0.2996
1010,,,0.2863
1011,,,0.273
1012,,,0.2596
1013,,,0.2469
1014,,,0.2342
1015,,,0.2215
1016,,,0.2088
1017,,,0.197
1018,,,0.1852
1019,,,0.1734
1020,,,0.1615
1021,,,0.1529
1022,,,0.1443
1023,,,0.1357
1024,,,0.1271
1025,,,0.1165
1026,,,0.106
1027,,,0.0954
1028,,,0.0848
1029,,,0.0789
1030,,,0.0729
1031,,,0.0669
1032,,,0.061
1033,,,0.0563
1034,,,0.0516
1035,,,0.0469
1036,,,0.0422
1037,,,0.0378
1038,,,0.0334
1039,,,0.029
1040,,,0.0246
1041,,,0.0225
1042,,,0.0205
1043,,,0.0185
1044,,,0.0165
1045,,,0.0148
1046,,,0.0131
1047,,,0.0114
1048,,,0.0096
1049,,,0.0088
1050,,,0.008
1051,,,0.0072
1052,,,0.0063
1053,,,0.0057
1054,,,0.0051
1055,,,0.0045
1056,,,0.0039
1057,,,0.0036
1058,,,0.0032
1059,,,0.0028
